Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
37,Rb,6p+,5s,0.553,0.003,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,7p-,5s,0.118,0.01,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,7p+,5s,0.207,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,8p-,5s,0.061,0.005,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,8p+,5s,0.114,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
19,K,4p-,4s,4.102,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
19,K,4p-,3d-,7.949,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
19,K,4p-,3d-,7.989,0.08,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,5p-,6s,4.146,,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,5p-,4d-,8.02,0.17,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,6p-,5s,0.325,0.009,CCSDpT,2012,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 84, 043401 (2011); C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://doi.org/10.1103/PhysRevA.84.043401; https://link.aps.org/doi/10.1103/PhysRevLett.109.243003,"Value from 2011 paper; uncertanty from 2012 paper"
37,Rb,6p+,5s,0.528,0.013,CCSDpT,2012,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 84, 043401 (2011); C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://doi.org/10.1103/PhysRevA.84.043401; https://link.aps.org/doi/10.1103/PhysRevLett.109.243003,"Value from 2011 paper; uncertanty from 2012 paper"
70,Yb+,5d-,6p-,3.06,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
70,Yb+,5d-,6p+,1.35,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
70,Yb+,5d+,6p+,4.23,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
70,Yb+,6s,6p-,2.72,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
70,Yb+,6s,6p+,3.83,,,2011,"B. K. Sahoo and B. P. Das, Phys. Rev. A 84, 010502(R) (2011)",https://doi.org/10.1103/PhysRevA.84.010502,
87,Fr,7p-,6d-,7.43,0.05,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 (2015)",https://doi.org/10.1103/PhysRevA.92.052511,
87,Fr,7p+,6d-,3.42,0.02,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 (2015)",https://doi.org/10.1103/PhysRevA.92.052511,
87,Fr,7p+,6d+,10.51,0.07,CCSD(T),2015,"B. K. Sahoo and B. P. Das, Phys. Rev. A 92, 052511 (2015)",https://doi.org/10.1103/PhysRevA.92.052511,
20,Ca+,4p-,4s,2.88,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052511,
20,Ca+,4p-,3d-,2.4,0.02,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052511,
20,Ca+,4p+,4s,4.03,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052511,
20,Ca+,4p+,3d-,1.09,0.01,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052511,
20,Ca+,4p+,3d+,3.22,0.04,CCSDpT,2009,"B. K. Sahoo, B. P. Das, and D. Mukherjee, Phys. Rev. A 79, 052511 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052511,
55,Cs,6p-,6s,4.5067,0.004,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
55,Cs,6p-,7s,4.2559,0.003,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
55,Cs,7p-,6s,0.2805,0.002,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
55,Cs,7p-,7s,10.2915,0.01,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
55,Cs,8p-,6s,0.0824,0.001,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
55,Cs,8p-,7s,0.9326,0.002,CCSDT,2021,"B. K. Sahoo, B. P. Das, and H. Spiesberger, Phys. Rev. D 103, L111303 (2021)",https://doi.org/10.1103/PhysRevD.103.L111303,
88,Ra+,7p-,7s,3.28,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007)",https://link.aps.org/doi/10.1103/PhysRevA.76.040504,
88,Ra+,7p-,6d-,3.64,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007)",https://link.aps.org/doi/10.1103/PhysRevA.76.040504,
88,Ra+,7p+,7s,4.54,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007)",https://link.aps.org/doi/10.1103/PhysRevA.76.040504,
88,Ra+,7p+,6d-,1.54,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007)",https://link.aps.org/doi/10.1103/PhysRevA.76.040504,
88,Ra+,7p+,6d+,4.92,,CCSDpT,2007,"B. K. Sahoo, B. P. Das, R. K. Chaudhuri, D. Mukherjee, R. G. E. Timmermans, and K. Jungmann, Phys. Rev. A 76, 040504 (2007)",https://link.aps.org/doi/10.1103/PhysRevA.76.040504,
56,Ba+,6p-,6s,3.36,0.01,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
56,Ba+,6p-,5d-,3.11,0.03,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
56,Ba+,6p+,6s,4.73,0.03,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
56,Ba+,6p+,5d-,1.34,0.02,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
56,Ba+,6p+,5d+,4.02,0.07,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
88,Ra+,7p-,7s,3.28,0.02,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
88,Ra+,7p-,6d-,3.62,0.05,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
88,Ra+,7p+,7s,4.54,0.02,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
88,Ra+,7p+,6d-,1.54,0.02,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
88,Ra+,7p+,6d+,4.83,0.08,CCSD(T),2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009)",https://link.aps.org/doi/10.1103/PhysRevA.79.052512,
55,Cs,6p-,5d-,7.291,0.067,CCSDpT,2016,"B. K. Sahoo, Phys. Rev. A 93, 022503 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.022503,
55,Cs,6p+,5d-,3.288,0.033,CCSDpT,2016,"B. K. Sahoo, Phys. Rev. A 93, 022503 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.022503,
55,Cs,6p+,5d+,9.961,0.111,CCSDpT,2016,"B. K. Sahoo, Phys. Rev. A 93, 022503 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.022503,
56,Ba+,6p-,6s,3.37,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006)",https://link.aps.org/doi/10.1103/PhysRevLett.96.163003,
56,Ba+,6p-,5d-,3.08,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006)",https://link.aps.org/doi/10.1103/PhysRevLett.96.163003,
56,Ba+,6p+,6s,4.72,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006)",https://link.aps.org/doi/10.1103/PhysRevLett.96.163003,
56,Ba+,6p+,5d-,1.36,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006)",https://link.aps.org/doi/10.1103/PhysRevLett.96.163003,
87,Fr,7p-,7s,4.26,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.032520,
87,Fr,7p-,6d-,7.45,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.032520,
87,Fr,7p+,7s,5.98,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.032520,
87,Fr,7p+,6d-,3.44,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.032520,
87,Fr,7p+,6d+,10.53,,CCSDpT,2016,"B. K. Sahoo, T. Aoki, B. P. Das, and Y. Sakemi, Phys. Rev. A 93, 032520 (2016)",https://link.aps.org/doi/10.1103/PhysRevA.93.032520,
55,Cs,6p+,6s,6.3349,0.0048,Expt.,2015,"B. M. Patterson, J. F. Sell, T. Ehrenreich, M. A. Gearba, G. M. Brooke, J. Scoville, and R. J. Knize, Phys. Rev. A 91, 012506 (2015)",https://link.aps.org/doi/10.1103/PhysRevA.91.012506,
87,Fr,7p-,7s,4.278,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,7p-,6d-,7.174,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,7p+,7s,5.906,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,7p+,6d-,3.301,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,7p+,6d+,10.156,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,8p-,7s,0.287,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
87,Fr,8p+,7s,0.89,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,7p-,7s,3.228,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,7p-,6d-,3.533,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,7p+,7s,4.482,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,7p+,6d-,1.496,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,7p+,6d+,4.795,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,8p-,7s,0.071,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
88,Ra+,8p+,7s,0.36,,CPM,2013,"B. M. Roberts, V. A. Dzuba, and V. V. Flambaum, Phys. Rev. A 88, 012510 (2013)",https://link.aps.org/doi/10.1103/PhysRevA.88.012510,
37,Rb,6p-,5s,0.3235,0.0009,Expt.,2012,"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://link.aps.org/doi/10.1103/PhysRevLett.109.243003,
37,Rb,6p+,5s,0.523,0.0008,Expt.,2012,"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://link.aps.org/doi/10.1103/PhysRevLett.109.243003,
55,Cs,6p-,5d-,7.283,0.06,Expt.+Th.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.69.040501,
55,Cs,6p+,5d-,3.286,0.03,Expt.+Th.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.69.040501,
55,Cs,6p+,5d+,9.916,0.035,Expt.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.69.040501,
87,Fr,7p-,7d-,3.52,0.01,Expt.+Th.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.63.062101,
87,Fr,7p+,7d-,2.19,0.01,Expt.+Th.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.63.062101,
87,Fr,7p+,7d+,6.23,0.12,Expt.+Th.,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan, Phys. Rev. A 57, 4204 (1998); V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001)",https://link.aps.org/doi/10.1103/PhysRevA.57.4204; https://link.aps.org/doi/10.1103/PhysRevA.63.062101,
37,Rb,5p+,5d+,2.266,0.04,Expt.,2016,"D. J. Whiting, J. Keaveney, C. S. Adams, and I. G. Hughes, Phys. Rev. A 93 , 043854 (2016); Phys. Rev. A 97, 049902 (2018)",https://link.aps.org/doi/10.1103/PhysRevA.93.043854; https://link.aps.org/doi/10.1103/PhysRevA.97.049902,
38,Sr+,4d-,5p-,3.112,0.01,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009)",https://iopscience.iop.org/article/10.1088/0953-4075/42/15/154020,
38,Sr+,4d-,5p+,1.383,0.005,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009)",https://iopscience.iop.org/article/10.1088/0953-4075/42/15/154020,
38,Sr+,4d+,5p+,4.187,0.014,CCSDpT,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009)",https://iopscience.iop.org/article/10.1088/0953-4075/42/15/154020,
38,Sr+,5s,5p-,3.078,0.015,CCSD,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009)",https://iopscience.iop.org/article/10.1088/0953-4075/42/15/154020,
38,Sr+,5s,5p+,4.351,0.022,CCSD,2009,"D. Jiang, B. Arora, M. S. Safronova, and C. W. Clark, J. Phys. B At. Mol. Opt. Phys. 42, 154020 (2009)",https://iopscience.iop.org/article/10.1088/0953-4075/42/15/154020,
70,Yb+,6s,6p+,3.36,0.03,Expt.,1994,"E. H. Pinnington, R. W. Berends, and Q. Ji, Phys. Rev. A 50, 2758 (1994); S. G. Porsev, M. S. Safronova, and M. G. Kozlov, Phys. Rev. A 86, 022504 (2012)",https://link.aps.org/doi/10.1103/PhysRevA.50.2758; https://link.aps.org/doi/10.1103/PhysRevA.86.022504,
56,Ba+,6p-,6s,3.3357,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova Phys. Rev. A.78.012508 (2008),https://link.aps.org/doi/10.1103/PhysRevA.78.012508,
56,Ba+,6p+,6s,4.7065,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova Phys. Rev. A.78.012508 (2008),https://link.aps.org/doi/10.1103/PhysRevA.78.012508,
56,Ba+,7p-,6s,0.0621,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova Phys. Rev. A.78.012508 (2008),https://link.aps.org/doi/10.1103/PhysRevA.78.012508,
56,Ba+,7p+,6s,0.0868,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova Phys. Rev. A.78.012508 (2008),https://link.aps.org/doi/10.1103/PhysRevA.78.012508,
88,Ra+,7p-,7s,3.289,0.016,CCSD,2021,"F.-C. Li, H.-X. Qiao, Y.-B. Tang et al. J. Quant. Spec. & Rad. 274 (2021) 107877",https://doi.org/10.1016/j.jqsrt.2021.107877,
88,Ra+,7p-,6d-,3.6,0.026,CCSD,2021,"F.-C. Li, H.-X. Qiao, Y.-B. Tang et al. J. Quant. Spec. & Rad. 274 (2021) 107877",https://doi.org/10.1016/j.jqsrt.2021.107877,
88,Ra+,7p+,7s,4.556,0.017,CCSD,2021,"F.-C. Li, H.-X. Qiao, Y.-B. Tang et al. J. Quant. Spec. & Rad. 274 (2021) 107877",https://doi.org/10.1016/j.jqsrt.2021.107877,
88,Ra+,7p+,6d-,1.525,0.013,CCSD,2021,"F.-C. Li, H.-X. Qiao, Y.-B. Tang et al. J. Quant. Spec. & Rad. 274 (2021) 107877",https://doi.org/10.1016/j.jqsrt.2021.107877,
88,Ra+,7p+,6d+,4.854,0.034,CCSD,2021,"F.-C. Li, H.-X. Qiao, Y.-B. Tang et al. J. Quant. Spec. & Rad. 274 (2021) 107877",https://doi.org/10.1016/j.jqsrt.2021.107877,
55,Cs,6p-,6s,4.5057,0.0016,Expt. (avg.),2019,"G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019)",https://link.aps.org/doi/10.1103/PhysRevLett.123.073002,Weighted average of many experiments; see references within
55,Cs,6p+,6s,6.3398,0.0022,Expt. (avg.),2019,"G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019)",https://link.aps.org/doi/10.1103/PhysRevLett.123.073002,
55,Cs,7p-,5d-,2.033,0.005,Expt.,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019)",https://link.aps.org/doi/10.1103/PhysRevA.100.052507,
55,Cs,7p+,5d-,0.797,0.003,Expt.+Th.,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019)",https://link.aps.org/doi/10.1103/PhysRevA.100.052507,"Error bars exclude Th. error, which is 'substantial'"
55,Cs,7p+,5d+,2.48,0.008,Expt.+Th.,2019,"G. Toh, N. Chalus, A. Burgess, A. Damitz, P. Imany, D. E. Leaird, A. M. Weiner, C. E. Tanner, and D. S. Elliott, Phys. Rev. A 100, 052507 (2019)",https://link.aps.org/doi/10.1103/PhysRevA.100.052507,"Error bars exclude Th. error, which is 'substantial'"
